                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.0227,                0.65692,                 0.9891,                0.74669,                0.67479,                0.69712,                0.31992,                 1.6254,                0.98189,                 1.3132,                0.00274,                0.00274,                0.00274
                     90,                 1.0473,                0.64931,                0.99099,                0.69501,                0.72289,                0.70356,                 0.3228,                 1.6346,                 1.0107,                 1.3445,              0.0026575,              0.0026575,              0.0026575
                     91,                 1.0596,                0.67203,                 0.9872,                0.77197,                 0.6747,                0.74493,                  0.344,                 1.4748,                0.89925,                 1.2713,               0.002575,               0.002575,               0.002575
                     92,                 1.0109,                0.64225,                0.99084,                0.74776,                0.67866,                0.74195,                0.34357,                 1.4834,                0.92153,                 1.2993,              0.0024925,              0.0024925,              0.0024925
                     93,                 1.0145,                0.65007,                 0.9916,                0.68675,                0.72289,                0.70437,                0.33393,                 1.4659,                0.92111,                 1.2621,                0.00241,                0.00241,                0.00241
                     94,                 1.0324,                0.64979,                 0.9936,                0.75644,                0.67354,                0.71759,                0.34146,                 1.6138,                0.97824,                 1.3099,              0.0023275,              0.0023275,              0.0023275
                     95,                0.97761,                0.62943,                 0.9761,                0.73089,                0.68716,                0.70427,                0.32886,                 1.5467,                 1.0766,                 1.2892,               0.002245,               0.002245,               0.002245
                     96,                0.98705,                0.62125,                0.98232,                0.73154,                0.72228,                0.72194,                0.33665,                 1.5805,                 1.1111,                 1.3232,              0.0021625,              0.0021625,              0.0021625
                     97,                0.98887,                 0.6227,                0.97725,                0.77781,                0.62651,                0.71366,                0.33484,                 1.5456,                 1.1423,                 1.3636,                0.00208,                0.00208,                0.00208
                     98,                0.98074,                0.62481,                0.97758,                0.77772,                0.63236,                0.69217,                0.32905,                 1.5717,                 1.0916,                 1.3564,              0.0019975,              0.0019975,              0.0019975
